signal_date,symbol,quarter,signal_value,revision,revision_to_price,current_eps,prior_eps,breadth,paired_count,current_count,prior_count,prior_return20,prior_active20,prior_runup_pct,active20,denominator_category,runup_category,small_positive_cutoff
2020-02-28,002429,2020Q4,0.8235294117647058,0.8235294117647058,,0.31,0.17,0.75,4.0,5,7,0.3778915087784893,0.3361912679479991,0.9789227166276346,-0.1376506128562838,SMALL_POSITIVE_BASE_UPGRADE,HIGH_PRIOR_RUNUP,0.552
2020-02-28,300598,2020Q4,0.642105263157895,0.642105263157895,,0.78,0.475,0.75,4.0,7,4,0.2806956845606057,0.2389954437301155,0.955503512880562,0.0631656875676095,SMALL_POSITIVE_BASE_UPGRADE,HIGH_PRIOR_RUNUP,0.552
2020-02-28,300142,2020Q4,0.3465346534653464,0.3465346534653464,,0.6799999999999999,0.505,0.0,4.0,6,6,0.0134666829353202,-0.0282335578951699,0.550351288056206,0.1610231545537019,SMALL_POSITIVE_BASE_UPGRADE,NORMAL_PRIOR_RUNUP,0.552
2020-02-28,002399,2020Q4,0.3387096774193547,0.3387096774193547,,0.83,0.62,0.0,3.0,8,3,0.1175448708808675,0.0758446300503773,0.7892271662763466,-0.0719653290141602,NORMAL_POSITIVE_UPGRADE,NORMAL_PRIOR_RUNUP,0.552
2020-02-28,600745,2020Q4,0.2672811059907833,0.2672811059907833,,2.75,2.17,0.4375,16.0,21,18,0.1149600892769187,0.0732598484464285,0.7798594847775175,-0.2536868694559824,NORMAL_POSITIVE_UPGRADE,NORMAL_PRIOR_RUNUP,0.552
2020-02-28,300433,2020Q4,0.2258064516129032,0.2258064516129032,,0.76,0.62,0.6666666666666666,15.0,19,16,-0.0585110262989867,-0.1002112671294769,0.2622950819672131,-0.2109549892311627,NORMAL_POSITIVE_UPGRADE,NORMAL_PRIOR_RUNUP,0.552
2020-02-28,000810,2020Q4,0.2049180327868851,0.2049180327868851,,0.735,0.61,,2.0,4,3,-0.0528166556311687,-0.0945168964616589,0.2997658079625293,-0.0344123640612586,NORMAL_POSITIVE_UPGRADE,NORMAL_PRIOR_RUNUP,0.552
2020-02-28,300498,2020Q4,0.191481197237145,0.191481197237145,,6.21,5.212,0.1818181818181818,22.0,24,30,-0.0045918070297402,-0.0462920478602304,0.4847775175644028,0.0019484296835434,NORMAL_POSITIVE_UPGRADE,NORMAL_PRIOR_RUNUP,0.552
2020-02-28,000661,2020Q4,0.1853735373537353,0.1853735373537353,,13.1695,11.11,0.64,25.0,28,25,-0.0281115778459986,-0.0698118186764887,0.3981264637002342,0.1758709004851313,NORMAL_POSITIVE_UPGRADE,NORMAL_PRIOR_RUNUP,0.552
2020-02-28,000625,2020Q4,0.1793214862681744,0.1793214862681744,,0.73,0.619,0.3214285714285714,28.0,30,28,0.0293530191052728,-0.0123472217252172,0.5901639344262295,0.0875755786529515,NORMAL_POSITIVE_UPGRADE,NORMAL_PRIOR_RUNUP,0.552
2020-03-31,603005,2020Q4,0.8617021276595747,0.8617021276595747,,1.75,0.94,0.0,4.0,7,5,-0.1651473778318027,-0.0666484276795467,0.3009478672985782,0.0450689472209491,NORMAL_POSITIVE_UPGRADE,NORMAL_PRIOR_RUNUP,0.571
2020-03-31,300598,2020Q4,0.4545454545454546,0.4545454545454546,,1.04,0.715,0.3333333333333333,6.0,9,6,-0.1395135719979786,-0.0410146218457226,0.3767772511848341,-0.1496961828232761,NORMAL_POSITIVE_UPGRADE,NORMAL_PRIOR_RUNUP,0.571
2020-03-31,000876,2020Q4,0.2869565217391305,0.2869565217391305,,2.96,2.3,0.2727272727272727,11.0,17,13,0.1864830959395658,0.2849820460918219,0.985781990521327,0.007175609572303,NORMAL_POSITIVE_UPGRADE,HIGH_PRIOR_RUNUP,0.571
2020-03-31,002475,2020Q4,0.20873786407767,0.20873786407767,,1.245,1.03,0.6666666666666666,30.0,34,36,-0.2066536546317073,-0.1081547044794513,0.1824644549763033,0.1743804182949827,NORMAL_POSITIVE_UPGRADE,NORMAL_PRIOR_RUNUP,0.571
2020-03-31,600745,2020Q4,0.1999999999999999,0.1999999999999999,,2.94,2.45,0.0,17.0,18,21,-0.2014171804100594,-0.1029182302578033,0.2014218009478673,-0.0577981707236172,NORMAL_POSITIVE_UPGRADE,NORMAL_PRIOR_RUNUP,0.571
2020-03-31,600516,2020Q4,0.1968503937007875,0.1968503937007875,,0.76,0.635,0.0,3.0,3,4,-0.1542806575923002,-0.0557817074400442,0.3317535545023696,-0.1484094244690411,NORMAL_POSITIVE_UPGRADE,NORMAL_PRIOR_RUNUP,0.571
2020-03-31,601881,2020Q4,0.1717171717171719,0.1717171717171719,,0.5800000000000001,0.495,0.25,4.0,4,6,-0.1629953251121311,-0.064496374959875,0.3104265402843602,-0.0371118416897333,SMALL_POSITIVE_BASE_UPGRADE,NORMAL_PRIOR_RUNUP,0.571
2020-03-31,002797,2020Q4,0.161290322580645,0.161290322580645,,0.18,0.155,,2.0,3,4,-0.1385779737122044,-0.0400790235599484,0.3815165876777251,-0.0615591909679767,SMALL_POSITIVE_BASE_UPGRADE,NORMAL_PRIOR_RUNUP,0.571
2020-03-31,002714,2020Q4,0.1573720397249809,0.1573720397249809,,15.15,13.09,0.4090909090909091,22.0,24,25,0.0219070354953034,0.1204059856475595,0.8720379146919431,-0.0049914890250328,NORMAL_POSITIVE_UPGRADE,HIGH_PRIOR_RUNUP,0.571
2020-03-31,000728,2020Q4,0.129032258064516,0.129032258064516,,0.35,0.31,-0.6666666666666666,3.0,5,5,-0.1500029501660248,-0.0515040000137687,0.3483412322274881,-0.0849079555502617,SMALL_POSITIVE_BASE_UPGRADE,NORMAL_PRIOR_RUNUP,0.571
2020-08-31,300677,2020Q4,6.694011484823626,6.694011484823626,,14.0685,1.8285,0.5,4.0,4,4,-0.1356196100962902,-0.1421089509105043,0.076062639821029,0.0513531632455166,NORMAL_POSITIVE_UPGRADE,NORMAL_PRIOR_RUNUP,0.48
2020-08-31,603885,2020Q4,2.2500000000000004,2.2500000000000004,,-0.39,-0.12,-0.3846153846153846,13.0,15,13,0.1541705660401353,0.1476812252259212,0.901565995525727,0.075607662502767,NEGATIVE_BASE_DETERIORATION,HIGH_PRIOR_RUNUP,0.48
2020-08-31,601111,2020Q4,1.78125,1.78125,,-0.445,-0.16,-0.3181818181818182,22.0,24,22,0.0401708015834094,0.0336814607691953,0.6577181208053692,0.0618193313725565,NEGATIVE_BASE_DETERIORATION,NORMAL_PRIOR_RUNUP,0.48
2020-08-31,600115,2020Q4,1.3846153846153846,1.3846153846153846,,-0.31,-0.13,-0.2,15.0,15,15,0.1272601225126541,0.12077078169844,0.8478747203579419,0.0605849650964627,NEGATIVE_BASE_DETERIORATION,HIGH_PRIOR_RUNUP,0.48
2020-08-31,300676,2020Q4,0.875968992248062,0.875968992248062,,2.42,1.29,0.3333333333333333,9.0,11,10,-0.1472659613354086,-0.1537553021496227,0.0559284116331096,0.0510391906419094,NORMAL_POSITIVE_UPGRADE,NORMAL_PRIOR_RUNUP,0.48
2020-08-31,600029,2020Q4,0.8219461697722568,0.8219461697722568,,-0.44,-0.2415,-0.0555555555555555,18.0,19,18,0.073257192577244,0.0667678517630299,0.7404921700223713,0.0782290205399402,NEGATIVE_BASE_DETERIORATION,NORMAL_PRIOR_RUNUP,0.48
2020-08-31,603882,2020Q4,0.6826086956521742,0.6826086956521742,,1.935,1.15,0.6666666666666666,18.0,22,18,0.1280127343849824,0.1215233935707682,0.8523489932885906,-0.0091450587251747,NORMAL_POSITIVE_UPGRADE,HIGH_PRIOR_RUNUP,0.48
2020-08-31,600143,2020Q4,0.6033057851239669,0.6033057851239669,,0.97,0.605,0.4545454545454545,11.0,12,14,0.018732861846942,0.0122435210327278,0.5950782997762863,-0.0565628781309138,NORMAL_POSITIVE_UPGRADE,NORMAL_PRIOR_RUNUP,0.48
2020-08-31,601919,2020Q4,0.5,0.5,,0.18,0.12,0.5555555555555556,9.0,10,9,0.1428577584538659,0.1363684176396518,0.883668903803132,0.1142991102658518,SMALL_POSITIVE_BASE_UPGRADE,HIGH_PRIOR_RUNUP,0.48
