security_code,cash_per_share_2022,cash_per_share_2023,cash_per_share_2024,coverage_2022,coverage_2023,coverage_2024,strict_dividend_growth,cash_coverage_pass,eligible
001222,0.4,0.2,0.15,2.258141679867987,3.3908128945989837,-0.05028970122409066,False,False,False
001225,1.25,1.25,1.222,1.8643971616965738,1.182077862148738,1.269269001853105,False,False,False
001227,0.12,0.1,0.051,13.604419007563825,7.692969998014472,51.016488932977396,False,True,False
001228,0.3,0.6,0.3,8.512861112296683,6.60109178398454,-14.374931245669384,False,False,False
001229,0.4,0.6,0.6,2.1252689695,1.5587241011666666,1.2473636591666666,False,True,False
001230,0.2,0.35,0.32,10.69484023273993,1.6985085336642236,2.2009008379473447,False,True,False
001234,0.5,0.5,0.3,2.5692786605379188,0.9167658595941377,2.333063197448461,False,False,False
001256,0.1699999999999999,0.2,0.2,3.807814612610188,5.926666206702498,2.942171841206298,False,True,False
001258,0.063,0.08,0.017,13.813848579418678,6.7494059852682815,22.43166280246478,False,True,False
001260,0.52,0.125,0.126,0.8787055384615385,-1.2193735951304348,4.573795485852312,False,False,False
001266,0.2,0.2,0.3015197,5.258774332788671,-0.20143630240968516,2.4040522020793142,False,False,False
001268,0.1,0.25,0.45,-10.412631616660706,4.108292059244644,2.3744089962461867,True,False,False
001278,0.0889,0.1,0.1,19.38732598992911,24.736306016807102,-8.13799520501336,False,False,False
001286,0.35,0.36,0.36,6.783213236533334,5.283924116325926,6.100891646162963,False,True,False
001287,0.142,0.0849999999999999,0.112,-14.074184725401041,-36.21986429030479,-10.54294629499454,False,False,False
001288,0.1,0.25,0.25,4.359497618750001,0.7535960687750863,5.773257205238657,False,False,False
001289,0.10539,0.2002499999999999,0.2050199999999999,33.51484912357639,8.293785166366233,9.954846852315791,True,True,True
001296,0.1,0.4,0.2,-0.5695592939545054,0.8783264189253538,5.960048454357768,False,False,False
001298,0.3,0.2,0.06,6.8791893447916665,-0.9965137463903516,-30.920360148274156,False,False,False
001308,0.868,0.6,0.18,1.0908288881557517,0.6294256845294042,1.9012390754803006,False,False,False
001309,0.18709,0.13,0.3,-22.048734001448654,-68.99028703626324,-26.032109982532887,False,False,False
001311,0.71,0.82,0.67,2.827082988757448,3.3898850889425036,3.8063046975882107,False,True,False
