announcement_id,security_code,security_name,publish_date,record_date,ex_date,payment_date,cash_per_share,title,source_file,source_sha256,status
1223696760,688018,乐鑫科技,2025-05-28,2025-06-03,2025-06-04,2025-06-04,0.6,乐鑫科技2024年年度权益分派实施公告,pdf/1223696760.pdf,eaac2f5b5ce2398f9c1e450abb39fc3d213645283f7fd8402ecce61d44415e66,COMPLETE
1223696941,605056,咸亨国际,2025-05-28,2025-06-03,2025-06-04,2025-06-04,0.36,咸亨国际：2024年年度权益分派实施公告,pdf/1223696941.pdf,0878a56db0adbefbba7198f0f9c346b3b69dbed89dd52f5e90e78da0b6fc8067,COMPLETE
1223697703,002517,恺英网络,2025-05-28,2025-06-05,2025-06-06,2025-06-06,0.1,2024年年度权益分派实施公告,pdf/1223697703.pdf,9bae4708b127646262140602db6a295fe7e1a992f86f863a9d3aba2f263beed3,COMPLETE
1223697737,301386,未来电器,2025-05-28,2025-06-05,2025-06-06,2025-06-06,0.5,2024年年度权益分派实施公告,pdf/1223697737.pdf,7acf750982bdf0de844f0a90cf23c72ec1b704877a83a0a18d0d31871782c417,COMPLETE
1223714346,873122,中纺标,2025-05-28,,2025-06-09,2025-06-09,0.1626155,2024年年度权益分派实施公告,pdf/1223714346.pdf,2c226a7502fa243fb5679b8e2244a63f070a05eb131fc934d596252fd674a2ac,INCOMPLETE
1223714347,837821,则成电子,2025-05-28,,2025-06-06,2025-06-06,0.1,2024年年度权益分派实施公告,pdf/1223714347.pdf,401606c0cef1f3aba08578d1d4b078c07cf7627ab1077cf916f77feddc3f8dd0,INCOMPLETE
1223714351,837242,建邦科技,2025-05-28,,2025-06-09,2025-06-09,0.2,2024年年度权益分派实施公告,pdf/1223714351.pdf,8798f3812a4d7e90962faefda7410673ffa6aebf0089086854e39d407ea4347e,INCOMPLETE
1223714362,838402,硅烷科技,2025-05-28,,2025-06-09,2025-06-09,0.02,2024年年度权益分派实施公告,pdf/1223714362.pdf,b7454190ac8123aecfe4462b604e5e56f485b47da78b559ece674a7a62d0a6a6,INCOMPLETE
1223714397,832110,雷特科技,2025-05-28,,2025-06-06,2025-06-06,1.0,2024年年度权益分派实施公告,pdf/1223714397.pdf,8fe210537f7bda94f736cdaa0cd610c94bac0165639d9302bdac893bdbfc6e92,INCOMPLETE
1223715103,834765,美之高,2025-05-28,,2025-06-09,2025-06-09,0.27999999999999997,2024年年度权益分派实施公告,pdf/1223715103.pdf,3f65dc63dc6a9b8428cd2cc2fff90be94d5fdcfc269f79b31c0d82a1b3410209,INCOMPLETE
1223715173,873703,广厦环能,2025-05-28,,2025-06-06,2025-06-06,0.4,2024年年度权益分派实施公告,pdf/1223715173.pdf,92b4371eddba14b54e2c32b0a6bd11ccb110f9d5bf73a2f8631e656d0c3c223a,INCOMPLETE
1223715177,838030,德众汽车,2025-05-28,,2025-06-06,2025-06-06,0.0167748,2024 年年度权益分派实施公告,pdf/1223715177.pdf,43b07e2635158abd3915796bd3d580e1f09c96e6d2febd9577d8d648767fded9,INCOMPLETE
1223715316,872392,佳合科技,2025-05-28,,2025-06-06,2025-06-06,0.1,2024年年度权益分派实施公告,pdf/1223715316.pdf,90f28d06bd4adb8cc5df4b9069a1d3fc6411bf41f267a734057e736deba3a8c0,INCOMPLETE
1223715318,838227,美登科技,2025-05-28,,2025-06-06,2025-06-06,1.0,2024年年度权益分派实施公告,pdf/1223715318.pdf,ab7b8d88679477d802f81b25d8ca0c80c258728717fcff6e801f6d7b3df6ca51,INCOMPLETE
1223712517,300621,维业股份,2025-05-28,2025-06-05,2025-06-06,2025-06-06,0.01,2024年度权益分派实施公告,pdf/1223712517.pdf,bd96c829591250b8c0660e8c0249e1745b5713c5a60fdd2e364295fd894ed8ea,COMPLETE
1223713045,300546,雄帝科技,2025-05-28,2025-06-04,2025-06-05,2025-06-05,0.045,2024年年度权益分派实施公告,pdf/1223713045.pdf,0f86b2a845c28f8490581155495f4f08e392c3de158bc8a02df6e863462197f0,COMPLETE
1223713161,301363,美好医疗,2025-05-28,2025-06-04,2025-06-05,2025-06-05,0.1,2024年年度权益分派实施公告,pdf/1223713161.pdf,0c0a9652ac8a2aa8155c64d42c0722bae1ea7dcb2c5e48bcb68882cecb0b0fe1,COMPLETE
1223713169,300095,华伍股份,2025-05-28,2025-06-04,2025-06-05,2025-06-05,0.1,2024年年度权益分派实施公告,pdf/1223713169.pdf,8071c5b92d08699c6f7a9c1db7ea37417abf08d44166fb96470a64104b76bc3b,COMPLETE
1223713160,300731,科创新源,2025-05-28,2025-06-04,2025-06-05,2025-06-05,0.08,深圳科创新源新材料股份有限公司2024年年度权益分派实施公告,pdf/1223713160.pdf,f43093925f5ce06b8cac8df285fa1b82915752250274fa8d0136baaa23aef49b,COMPLETE
1223713250,301503,智迪科技,2025-05-28,2025-06-04,2025-06-05,2025-06-05,0.65,2024年年度权益分派实施公告,pdf/1223713250.pdf,bef22d3c4be9228b033509e1996ae415c80ce29445f9035f2358d1f259cae059,COMPLETE
